AGE,AGE2,BLACK,EXP,EXP2,LWAGE,NEARC,SCHOOLING,SMSA,SOUTH,FATHEDUC,MOTHEDUC
32,1024,0,8,64,6.645091,1,18,1,0,16.0,16.0
27,729,0,4,16,6.214608,1,17,1,0,16.0,17.0
27,729,0,4,16,6.428105,1,17,1,0,12.0,8.0
30,900,0,12,144,6.476973,1,12,1,0,,8.0
28,784,0,4,16,6.645091,1,18,1,0,10.0,12.0
26,676,0,8,64,6.238325,1,12,1,0,10.0,12.0
31,961,0,7,49,6.437752,1,18,1,0,12.0,13.0
31,961,0,11,121,7.013016,1,14,1,0,12.0,12.0
28,784,0,9,81,6.580639,1,13,1,0,12.0,12.0
32,1024,0,12,144,7.05099,1,14,1,0,13.0,12.0
34,1156,0,10,100,6.717805,1,18,0,0,18.0,18.0
34,1156,0,12,144,6.827629,1,16,1,0,14.0,12.0
28,784,0,5,25,6.981006,1,17,1,0,14.0,17.0
33,1089,0,15,225,6.437752,1,12,1,0,,8.0
27,729,0,8,64,6.131227,1,13,1,0,,8.0
24,576,1,4,16,6.802395,1,14,1,0,8.0,12.0
29,841,0,5,25,6.52503,1,18,1,0,8.0,9.0
24,576,0,6,36,6.018593,1,12,1,0,10.0,12.0
27,729,0,8,64,6.437752,1,13,1,0,12.0,15.0
32,1024,0,8,64,6.912743,1,18,1,0,12.0,12.0
24,576,0,7,49,6.586172,1,11,1,0,9.0,11.0
27,729,0,6,36,6.620073,1,15,1,0,8.0,11.0
29,841,0,9,81,6.270988,1,14,1,0,,8.0
29,841,0,6,36,6.879356,1,17,1,0,8.0,12.0
26,676,0,8,64,6.156979,1,12,0,0,12.0,12.0
24,576,0,6,36,5.783825,1,12,1,0,12.0,12.0
34,1156,0,16,256,6.774224,1,12,1,0,,12.0
34,1156,0,15,225,6.437752,1,13,1,0,9.0,10.0
26,676,0,8,64,5.820083,1,12,1,0,8.0,10.0
27,729,0,5,25,6.175867,1,16,1,0,5.0,5.0
29,841,0,14,196,6.476973,1,9,1,0,5.0,
25,625,0,3,9,5.948035,1,16,1,0,5.0,4.0
30,900,0,6,36,6.869014,1,18,1,0,15.0,14.0
29,841,0,7,49,6.421622,1,16,0,0,13.0,12.0
28,784,0,8,64,6.553934,1,14,1,0,12.0,12.0
31,961,0,11,121,6.453625,1,14,1,0,,12.0
28,784,0,10,100,5.298317,1,12,1,0,10.0,11.0
27,729,0,9,81,6.705639,1,12,1,0,10.0,10.0
26,676,0,6,36,6.357842,1,14,1,0,,12.0
26,676,0,3,9,6.144186,1,17,1,0,12.0,12.0
29,841,0,7,49,6.828712,1,16,1,0,,12.0
31,961,0,9,81,6.675823,1,16,1,1,12.0,12.0
28,784,0,8,64,6.453625,1,14,1,0,12.0,12.0
25,625,0,7,49,6.345636,1,12,1,0,,
29,841,0,7,49,6.558198,1,16,1,0,12.0,12.0
28,784,0,8,64,6.453625,1,14,1,0,12.0,9.0
30,900,0,12,144,6.542472,1,12,1,0,,12.0
34,1156,0,15,225,6.421622,1,13,1,0,10.0,12.0
26,676,0,4,16,6.135565,1,16,1,0,15.0,10.0
34,1156,0,16,256,6.76273,1,12,1,0,12.0,12.0
33,1089,0,9,81,6.602588,1,18,1,1,12.0,12.0
25,625,0,7,49,7.244227,1,12,1,0,8.0,14.0
31,961,0,13,169,6.694562,1,12,1,0,,7.0
26,676,0,4,16,6.483108,1,16,1,0,11.0,12.0
25,625,0,7,49,5.703783,1,12,1,0,,12.0
30,900,0,8,64,6.357842,1,16,1,0,8.0,10.0
24,576,0,2,4,5.57973,1,16,1,0,10.0,12.0
31,961,0,7,49,6.386879,1,18,0,0,8.0,8.0
26,676,0,3,9,5.783825,1,17,1,0,12.0,8.0
24,576,0,2,4,5.953243,1,16,0,0,12.0,8.0
25,625,0,1,1,6.907755,1,18,1,0,12.0,12.0
28,784,0,4,16,6.142037,1,18,1,0,8.0,11.0
28,784,0,6,36,6.086775,1,16,1,0,16.0,18.0
27,729,0,5,25,6.437752,1,16,1,0,16.0,17.0
27,729,0,4,16,5.652489,1,17,1,0,11.0,12.0
27,729,0,7,49,6.476973,1,14,1,0,10.0,12.0
25,625,0,6,36,6.694562,1,13,1,0,10.0,12.0
24,576,0,6,36,6.214608,1,12,1,0,10.0,12.0
26,676,0,4,16,6.72263,1,16,1,0,14.0,12.0
31,961,0,13,169,6.214608,1,12,1,0,8.0,6.0
32,1024,0,9,81,6.54103,1,17,1,0,12.0,12.0
27,729,0,9,81,7.003066,1,12,1,0,12.0,10.0
25,625,0,7,49,6.637258,1,12,1,0,8.0,12.0
27,729,0,9,81,6.678342,1,12,1,0,8.0,9.0
25,625,0,3,9,5.808143,1,16,1,0,7.0,8.0
30,900,0,6,36,6.013715,1,18,1,0,16.0,12.0
27,729,0,5,25,6.76273,1,16,1,0,,12.0
31,961,0,13,169,6.788972,1,12,1,0,8.0,12.0
34,1156,0,16,256,6.511745,1,12,1,0,,12.0
33,1089,0,15,225,6.55108,1,12,0,0,7.0,
33,1089,0,9,81,5.521461,1,18,1,1,16.0,16.0
27,729,0,10,100,6.437752,1,11,1,0,11.0,9.0
31,961,0,12,144,6.033086,1,13,1,0,8.0,12.0
28,784,0,9,81,6.356108,1,13,1,0,8.0,12.0
26,676,1,8,64,6.418365,1,12,1,0,12.0,9.0
31,961,0,13,169,6.55108,1,12,1,0,11.0,9.0
24,576,0,6,36,6.109248,1,12,1,0,11.0,9.0
28,784,0,6,36,6.214608,1,16,1,0,,12.0
25,625,0,7,49,6.242223,1,12,0,0,12.0,
25,625,0,3,9,5.521461,1,16,1,0,12.0,12.0
24,576,0,6,36,5.752573,1,12,0,0,12.0,12.0
29,841,0,11,121,5.926926,1,12,1,0,9.0,12.0
34,1156,0,13,169,6.124683,1,15,0,0,,12.0
27,729,1,9,81,5.616771,1,12,1,0,,
28,784,0,10,100,6.857514,1,12,1,0,,12.0
32,1024,0,10,100,7.01661,1,16,1,0,8.0,9.0
25,625,0,3,9,5.666427,1,16,0,0,12.0,14.0
25,625,0,3,9,6.214608,1,16,1,0,,
32,1024,0,8,64,6.58755,1,18,1,0,16.0,12.0
29,841,0,5,25,7.142828,1,18,1,0,18.0,12.0
26,676,1,3,9,6.418365,1,17,1,0,18.0,18.0
28,784,0,10,100,6.300786,1,12,1,0,10.0,11.0
28,784,0,9,81,5.627621,1,13,1,0,12.0,8.0
34,1156,0,10,100,7.273787,1,18,1,0,16.0,12.0
27,729,0,5,25,6.902743,1,16,1,0,16.0,12.0
29,841,0,11,121,6.55108,1,12,1,0,11.0,11.0
28,784,0,6,36,6.357842,1,16,1,0,9.0,12.0
31,961,0,9,81,6.754604,1,16,1,0,6.0,12.0
28,784,0,10,100,6.530878,1,12,1,0,12.0,
31,961,0,10,100,6.723833,1,15,1,0,11.0,
33,1089,0,14,196,6.45047,1,13,1,0,13.0,8.0
32,1024,0,14,196,6.535241,1,12,1,0,12.0,12.0
30,900,0,10,100,6.645091,1,14,1,0,8.0,8.0
27,729,0,6,36,5.953243,1,15,1,0,12.0,14.0
24,576,0,6,36,6.109248,1,12,1,0,12.0,14.0
27,729,0,9,81,6.421622,1,12,1,0,10.0,12.0
34,1156,0,16,256,6.52503,1,12,1,0,,8.0
32,1024,0,16,256,6.507277,1,10,1,0,,
33,1089,0,16,256,6.684612,1,11,1,0,8.0,8.0
34,1156,0,14,196,6.224558,1,14,1,0,8.0,8.0
30,900,0,6,36,6.933423,1,18,1,0,12.0,16.0
25,625,0,4,16,6.645091,1,15,1,0,16.0,12.0
32,1024,0,16,256,5.669881,1,10,1,1,10.0,14.0
28,784,0,9,81,6.270988,1,13,1,0,,8.0
29,841,0,7,49,7.05099,1,16,1,0,12.0,12.0
29,841,0,13,169,6.308098,1,10,1,0,12.0,
26,676,0,8,64,6.163315,1,12,1,0,8.0,12.0
26,676,0,8,64,6.109248,1,12,1,0,12.0,12.0
27,729,0,4,16,6.774224,1,17,1,0,10.0,
25,625,0,4,16,5.298317,1,15,1,0,10.0,
26,676,0,7,49,5.703783,1,13,0,0,16.0,16.0
25,625,0,3,9,6.135565,1,16,0,0,16.0,
30,900,0,12,144,5.953243,1,12,1,0,13.0,12.0
32,1024,0,11,121,7.156177,1,15,1,0,16.0,16.0
25,625,0,3,9,6.376727,1,16,1,0,12.0,12.0
27,729,0,9,81,6.39693,1,12,1,0,17.0,16.0
30,900,0,8,64,6.214608,1,16,1,0,6.0,
33,1089,1,15,225,6.086775,1,12,1,0,8.0,8.0
26,676,0,2,4,6.146329,1,18,1,1,13.0,16.0
29,841,0,6,36,6.834109,1,17,1,0,14.0,12.0
27,729,0,5,25,6.320768,1,16,1,0,14.0,12.0
24,576,0,5,25,6.082219,1,13,1,0,14.0,12.0
29,841,1,11,121,6.39693,1,12,1,0,9.0,10.0
26,676,1,8,64,6.35437,1,12,1,0,9.0,10.0
26,676,1,8,64,5.963579,1,12,1,0,9.0,10.0
34,1156,0,16,256,6.678342,1,12,0,0,12.0,
27,729,0,3,9,6.154858,1,18,1,0,18.0,16.0
26,676,0,3,9,5.308268,1,17,1,0,18.0,16.0
24,576,0,1,1,5.298317,1,17,1,0,18.0,16.0
24,576,0,1,1,5.857933,1,17,1,0,15.0,17.0
24,576,0,4,16,5.926926,1,14,0,0,10.0,12.0
25,625,0,3,9,6.175867,1,16,1,0,12.0,9.0
31,961,0,7,49,6.869014,1,18,1,0,8.0,8.0
27,729,0,6,36,6.047372,1,15,1,0,12.0,12.0
27,729,0,6,36,6.214608,1,15,1,0,11.0,12.0
30,900,0,15,225,6.109248,1,9,1,0,,11.0
28,784,0,14,196,6.165418,1,8,1,0,8.0,9.0
24,576,0,6,36,4.912655,1,12,1,0,8.0,9.0
32,1024,0,14,196,6.35437,1,12,1,0,10.0,9.0
33,1089,0,15,225,6.357842,1,12,1,0,10.0,8.0
31,961,0,13,169,5.736572,1,12,1,0,8.0,9.0
30,900,0,15,225,6.55108,1,9,1,0,12.0,12.0
32,1024,0,12,144,7.186901,1,14,1,0,,12.0
34,1156,0,18,324,6.311735,1,10,1,0,12.0,9.0
30,900,0,7,49,6.781058,1,17,1,0,8.0,8.0
25,625,0,7,49,6.633318,1,12,1,0,7.0,12.0
32,1024,0,14,196,6.562444,1,12,1,0,8.0,11.0
26,676,0,8,64,6.052089,1,12,1,0,8.0,8.0
26,676,0,8,64,6.056784,1,12,1,0,,9.0
24,576,0,2,4,6.356108,1,16,1,0,,9.0
32,1024,0,17,289,5.991465,1,9,1,0,,4.0
31,961,0,13,169,6.214608,1,12,0,0,8.0,5.0
28,784,0,10,100,6.274762,1,12,0,0,8.0,5.0
28,784,0,6,36,6.511745,1,16,1,0,12.0,12.0
27,729,0,5,25,6.357842,1,16,1,1,12.0,12.0
24,576,0,2,4,5.783825,1,16,1,0,16.0,12.0
29,841,0,12,144,6.214608,1,11,0,0,7.0,11.0
25,625,0,7,49,6.64639,1,12,0,0,7.0,11.0
26,676,0,8,64,6.214608,1,12,1,0,7.0,12.0
28,784,0,6,36,5.968708,1,16,1,0,14.0,12.0
34,1156,0,16,256,6.697034,1,12,1,0,12.0,10.0
34,1156,1,19,361,6.297109,1,9,0,0,12.0,
34,1156,1,19,361,6.385194,1,9,0,0,12.0,12.0
25,625,0,2,4,6.761573,1,17,1,0,12.0,12.0
28,784,1,12,144,6.55108,1,10,0,0,,8.0
25,625,0,7,49,6.234411,1,12,0,0,12.0,12.0
34,1156,0,15,225,6.421622,1,13,1,0,9.0,12.0
29,841,0,9,81,6.634634,1,14,1,0,9.0,8.0
31,961,0,15,225,6.200509,1,10,1,0,,
24,576,0,2,4,6.098074,1,16,1,0,12.0,12.0
25,625,0,7,49,6.052089,1,12,1,0,8.0,9.0
24,576,0,2,4,6.620073,1,16,1,0,12.0,12.0
24,576,0,2,4,6.55108,1,16,1,0,12.0,12.0
24,576,0,6,36,6.082219,1,12,1,0,9.0,9.0
29,841,0,11,121,6.410175,1,12,1,0,12.0,12.0
24,576,0,5,25,6.109248,1,13,1,0,7.0,8.0
26,676,0,17,289,5.746203,1,3,1,0,4.0,0.0
33,1089,1,20,400,5.521461,1,7,1,0,6.0,5.0
33,1089,0,13,169,6.214608,1,14,1,0,12.0,12.0
26,676,0,8,64,5.899898,0,12,1,0,11.0,12.0
26,676,0,8,64,6.700731,0,12,1,0,10.0,12.0
25,625,0,7,49,5.786897,0,12,0,0,10.0,12.0
29,841,0,11,121,6.261492,0,12,0,0,,10.0
28,784,0,9,81,6.703188,0,13,1,0,9.0,12.0
28,784,0,10,100,6.620073,0,12,1,0,11.0,12.0
24,576,0,1,1,6.263398,0,17,1,0,9.0,10.0
32,1024,0,14,196,7.025538,0,12,1,0,8.0,12.0
28,784,0,10,100,6.437752,0,12,1,0,8.0,9.0
25,625,0,5,25,6.572282,0,14,1,0,12.0,12.0
31,961,0,13,169,6.381816,0,12,0,0,8.0,12.0
27,729,0,4,16,6.001415,0,17,1,0,12.0,12.0
28,784,0,10,100,6.514713,1,12,1,0,10.0,12.0
25,625,0,7,49,6.095825,1,12,1,0,10.0,12.0
24,576,0,6,36,6.190315,1,12,1,0,10.0,12.0
34,1156,0,19,361,6.543912,1,9,1,0,10.0,6.0
25,625,0,7,49,6.55108,1,12,1,1,10.0,12.0
24,576,0,6,36,5.783825,1,12,1,1,7.0,10.0
25,625,0,10,100,6.320768,1,9,1,0,12.0,11.0
26,676,0,8,64,5.783825,1,12,1,0,8.0,12.0
26,676,0,7,49,6.504288,1,13,1,0,15.0,16.0
31,961,0,7,49,7.784889,1,18,1,0,18.0,16.0
25,625,0,3,9,6.630683,1,16,1,0,12.0,14.0
34,1156,0,12,144,6.893656,1,16,1,0,12.0,12.0
25,625,0,7,49,6.357842,1,12,1,0,12.0,12.0
29,841,0,6,36,5.655992,1,17,0,0,12.0,12.0
28,784,0,8,64,5.442418,1,14,1,1,18.0,16.0
25,625,0,7,49,6.240276,1,12,1,0,7.0,10.0
28,784,0,7,49,6.421622,1,15,1,0,9.0,10.0
25,625,0,4,16,6.55108,1,15,1,0,9.0,10.0
33,1089,0,9,81,6.570883,1,18,1,0,12.0,7.0
30,900,0,15,225,6.552508,1,9,1,0,8.0,8.0
24,576,1,6,36,6.135565,1,12,1,0,7.0,9.0
28,784,0,4,16,6.766191,1,18,1,0,8.0,9.0
29,841,0,7,49,6.821107,1,16,0,0,9.0,10.0
27,729,0,9,81,6.97073,1,12,1,0,12.0,12.0
29,841,0,11,121,5.991465,1,12,1,1,12.0,12.0
27,729,0,9,81,6.461468,1,12,1,0,12.0,12.0
24,576,0,5,25,5.652489,1,13,1,0,8.0,8.0
27,729,0,4,16,6.463029,1,17,1,1,12.0,12.0
32,1024,0,13,169,5.963579,1,13,1,0,,4.0
25,625,0,7,49,6.917706,1,12,1,0,12.0,10.0
24,576,0,6,36,6.705639,1,12,0,0,8.0,12.0
27,729,0,4,16,6.882438,1,17,1,0,10.0,9.0
29,841,1,11,121,6.620073,1,12,1,0,6.0,7.0
24,576,0,3,9,6.137727,1,15,0,0,7.0,8.0
28,784,0,10,100,7.234899,1,12,1,0,12.0,
25,625,0,7,49,6.357842,1,12,1,0,12.0,
27,729,0,9,81,5.993961,1,12,1,0,11.0,9.0
26,676,0,10,100,5.768321,1,10,1,0,11.0,9.0
27,729,0,9,81,6.242223,1,12,1,0,14.0,12.0
25,625,0,8,64,5.337538,1,11,1,0,14.0,12.0
27,729,0,4,16,7.083388,1,17,1,0,8.0,6.0
26,676,0,6,36,6.437752,1,14,1,0,7.0,6.0
34,1156,0,11,121,6.175867,1,17,1,0,7.0,7.0
27,729,0,8,64,6.570883,1,13,1,0,12.0,12.0
27,729,0,10,100,6.437752,1,11,1,0,1.0,4.0
30,900,0,12,144,6.315358,1,12,1,0,,7.0
34,1156,0,16,256,6.361302,1,12,1,0,5.0,2.0
28,784,0,4,16,6.734591,1,18,1,0,12.0,16.0
33,1089,0,9,81,7.561642,1,18,1,0,12.0,12.0
26,676,0,4,16,6.692084,1,16,1,0,13.0,10.0
29,841,1,11,121,5.840641,1,12,1,0,,6.0
32,1024,0,14,196,6.869014,1,12,1,0,11.0,14.0
32,1024,0,14,196,6.39693,1,12,0,0,10.0,10.0
34,1156,0,10,100,6.729824,1,18,1,0,12.0,10.0
24,576,0,2,4,6.437752,1,16,1,0,,
28,784,0,6,36,6.33328,1,16,1,0,,
28,784,0,6,36,7.251345,1,16,1,0,10.0,10.0
25,625,0,7,49,6.173786,1,12,1,0,,12.0
24,576,0,6,36,6.39693,1,12,1,0,7.0,8.0
28,784,0,13,169,5.703783,1,9,1,0,,0.0
25,625,0,10,100,6.224558,1,9,1,0,,0.0
25,625,1,5,25,6.033086,1,14,1,0,7.0,12.0
24,576,1,6,36,5.703783,1,12,1,0,7.0,12.0
27,729,0,3,9,6.76273,1,18,1,0,14.0,14.0
25,625,0,3,9,5.703783,1,16,1,0,16.0,13.0
32,1024,0,14,196,6.580639,1,12,1,0,9.0,6.0
34,1156,0,16,256,6.75227,1,12,1,0,8.0,
30,900,0,14,196,6.603944,1,10,1,0,10.0,7.0
31,961,1,8,64,6.964136,1,17,1,0,15.0,12.0
32,1024,1,14,196,6.270988,1,12,1,0,6.0,8.0
34,1156,0,17,289,6.349139,1,11,1,0,6.0,
32,1024,0,14,196,6.690842,1,12,0,0,,9.0
30,900,0,14,196,5.991465,1,10,1,0,6.0,8.0
29,841,0,5,25,6.869014,1,18,1,0,12.0,16.0
27,729,0,3,9,6.705639,1,18,1,0,13.0,16.0
28,784,0,9,81,6.60665,1,13,1,0,14.0,12.0
30,900,0,6,36,6.580639,1,18,1,0,12.0,12.0
24,576,0,0,0,6.816736,1,18,1,0,16.0,16.0
27,729,0,4,16,5.937536,1,17,1,0,8.0,12.0
26,676,0,6,36,5.857933,1,14,1,0,8.0,12.0
33,1089,0,16,256,6.542472,1,11,1,0,8.0,8.0
32,1024,0,14,196,6.921658,1,12,1,1,,12.0
34,1156,0,10,100,7.035269,1,18,1,0,16.0,16.0
30,900,0,6,36,7.443664,1,18,1,0,16.0,16.0
26,676,0,8,64,6.270988,1,12,1,0,12.0,8.0
32,1024,1,9,81,6.511745,1,17,1,0,12.0,16.0
28,784,0,5,25,6.917706,1,17,1,0,16.0,13.0
28,784,0,4,16,6.74052,1,18,1,0,17.0,12.0
27,729,0,10,100,6.565265,1,11,1,0,12.0,12.0
26,676,0,4,16,6.709304,1,16,0,0,12.0,13.0
24,576,0,6,36,6.102559,1,12,1,0,12.0,13.0
25,625,0,4,16,6.214608,1,15,1,0,9.0,10.0
31,961,0,9,81,6.955593,1,16,1,0,12.0,12.0
29,841,0,5,25,7.091742,1,18,1,0,16.0,12.0
33,1089,0,15,225,6.536692,1,12,1,0,8.0,
28,784,0,6,36,6.473891,1,16,1,0,8.0,10.0
30,900,0,11,121,6.774224,1,13,1,0,12.0,12.0
25,625,0,2,4,6.306275,1,17,1,0,12.0,12.0
28,784,0,15,225,6.39693,1,7,1,0,8.0,9.0
34,1156,0,13,169,7.716015,1,15,1,0,12.0,8.0
31,961,0,13,169,7.273787,1,12,1,0,12.0,8.0
34,1156,1,16,256,5.768321,1,12,1,0,,
33,1089,0,9,81,7.140453,1,18,1,0,10.0,16.0
24,576,0,6,36,6.39693,1,12,1,0,11.0,9.0
26,676,1,9,81,5.703783,1,11,1,0,,10.0
24,576,0,2,4,6.287858,1,16,1,0,12.0,12.0
33,1089,0,15,225,6.612041,1,12,0,0,11.0,
33,1089,0,15,225,6.74052,1,12,1,0,,12.0
29,841,0,7,49,6.700731,1,16,1,0,12.0,12.0
28,784,0,10,100,6.907755,1,12,1,0,,8.0
26,676,0,4,16,6.329721,1,16,1,0,12.0,15.0
26,676,0,2,4,5.652489,1,18,1,0,18.0,18.0
27,729,0,5,25,6.079933,1,16,1,0,16.0,12.0
25,625,0,6,36,5.783825,1,13,1,0,12.0,12.0
28,784,0,6,36,6.363028,1,16,1,0,10.0,12.0
26,676,1,4,16,6.376727,1,16,1,0,12.0,12.0
29,841,0,5,25,6.685861,1,18,1,0,14.0,12.0
25,625,0,5,25,5.743003,1,14,1,0,8.0,10.0
29,841,1,11,121,5.521461,1,12,1,0,4.0,11.0
27,729,1,6,36,6.214608,1,15,1,0,4.0,11.0
33,1089,1,15,225,6.620073,1,12,1,0,,12.0
31,961,0,12,144,5.83773,1,13,1,1,11.0,11.0
28,784,0,7,49,5.521461,1,15,1,0,11.0,11.0
24,576,0,2,4,6.55108,1,16,1,0,12.0,10.0
25,625,0,7,49,5.991465,1,12,1,0,8.0,8.0
27,729,0,4,16,6.318968,1,17,1,0,14.0,12.0
28,784,0,7,49,6.549651,1,15,1,0,12.0,12.0
24,576,0,4,16,7.561642,1,14,1,0,12.0,12.0
32,1024,0,8,64,7.103322,1,18,1,0,,10.0
29,841,0,7,49,6.421622,1,16,1,0,12.0,12.0
25,625,0,5,25,6.613384,1,14,1,0,12.0,12.0
24,576,0,2,4,6.126869,1,16,1,0,18.0,14.0
25,625,0,1,1,6.472346,1,18,1,0,16.0,10.0
25,625,0,7,49,6.613384,1,12,1,0,8.0,12.0
25,625,0,3,9,6.703188,1,16,1,1,17.0,12.0
31,961,0,9,81,6.76273,1,16,1,0,13.0,10.0
28,784,0,10,100,6.295266,1,12,1,0,7.0,8.0
27,729,0,8,64,5.899898,1,13,1,0,18.0,12.0
24,576,0,8,64,6.033086,1,10,1,0,18.0,12.0
27,729,0,5,25,6.487684,1,16,1,0,,12.0
26,676,0,5,25,6.270988,1,15,1,0,,12.0
29,841,0,6,36,6.746412,1,17,1,0,8.0,12.0
25,625,0,7,49,6.496775,1,12,1,0,12.0,9.0
24,576,0,2,4,6.270988,1,16,1,0,12.0,12.0
28,784,0,4,16,6.790097,1,18,1,0,9.0,12.0
28,784,0,5,25,6.76273,1,17,1,1,,12.0
